Wall time,Step,Value
1652789463.834546,0,6.183249473571777
1652789734.113411,1,1.270207166671753
1652789996.447478,2,1.141676664352417
1652790298.310177,3,1.0848625898361206
1652790640.554736,4,1.0385782718658447
1652790984.970551,5,0.9975993037223816
1652791329.971005,6,0.9609198570251465
1652791680.633725,7,0.9280305504798889
1652792057.868945,8,0.897836446762085
1652792450.697842,9,0.8696980476379395
1652792842.144111,10,0.8449088931083679
1652793235.550383,11,0.8236458897590637
1652793625.855048,12,0.8058284521102905
1652794017.806918,13,0.7867958545684814
1652794408.903087,14,0.7643435001373291
1652794774.670168,15,0.7432483434677124
1652795145.290625,16,0.7242215275764465
1652795514.798193,17,0.7066012620925903
1652795882.287876,18,0.6902035474777222
1652796247.38755,19,0.6747733950614929
1652796609.941631,20,0.6602544784545898
1652796973.73162,21,0.6462621092796326
1652797337.000462,22,0.6330161690711975
1652797699.343253,23,0.6199945211410522
1652798070.355818,24,0.6072812080383301
1652798432.52958,25,0.5959336161613464
1652798794.378548,26,0.5851393342018127
1652799154.988409,27,0.5750952959060669
1652799526.434753,28,0.5658531785011292
1652799916.292985,29,0.557043731212616
1652800312.446643,30,0.5486640334129333
1652800677.664764,31,0.5405539870262146
1652801041.637303,32,0.532913088798523
1652801397.403338,33,0.5246305465698242
1652801752.447719,34,0.5166229605674744
1652802114.734859,35,0.508487343788147
1652802480.082988,36,0.5002729296684265
1652802832.874201,37,0.4919375479221344
1652803196.581814,38,0.48425179719924927
1652803548.430791,39,0.4767319858074188
1652803905.97381,40,0.4683339297771454
1652804281.076029,41,0.46018826961517334
1652804666.352517,42,0.4531075656414032
1652805051.259993,43,0.4457603394985199
1652805435.879548,44,0.43864133954048157
1652805792.776987,45,0.43185341358184814
1652806142.248606,46,0.4252741038799286
1652806492.344516,47,0.419707715511322
1652806992.845845,48,0.41418221592903137
1652807474.88166,49,0.4084969460964203
1652807946.486968,50,0.4033707082271576
1652808414.084143,51,0.39846208691596985
1652808884.206063,52,0.3937474489212036
1652809355.118368,53,0.3897102475166321
1652809822.747225,54,0.3853314220905304
1652810303.437902,55,0.3811745345592499
1652810765.075663,56,0.37726330757141113
1652811222.23481,57,0.37377122044563293
1652811676.227529,58,0.37016427516937256
1652812130.451628,59,0.3664625585079193
1652812617.545801,60,0.3634367287158966
1652813082.301373,61,0.3604133129119873
1652813575.284734,62,0.35707584023475647
1652814081.81159,63,0.3538229167461395
1652814581.148351,64,0.35052427649497986
1652815078.148512,65,0.34769245982170105
1652815559.683256,66,0.3449249565601349
1652816062.103735,67,0.3426501154899597
1652816558.677021,68,0.33965468406677246
1652817047.642889,69,0.33649250864982605
1652817546.798834,70,0.33395782113075256
1652818005.814986,71,0.33163154125213623
1652818467.986081,72,0.32922232151031494
1652818946.710101,73,0.32632625102996826
1652819425.863097,74,0.3238590657711029
1652819902.202604,75,0.32187604904174805
1652820367.96835,76,0.32035061717033386
1652820841.414818,77,0.31793349981307983
1652821309.942026,78,0.31597447395324707
1652821768.467922,79,0.3137592673301697
1652822232.494568,80,0.311156302690506
1652822693.156804,81,0.3096042275428772
