epoch,dense_11_loss,loss
0,3.7116687297821045,3.7116687297821045
1,0.6094671487808228,0.6094671487808228
2,0.560006856918335,0.560006856918335
3,0.5309519171714783,0.5309519171714783
4,0.5085254907608032,0.5085254907608032
5,0.49051225185394287,0.49051225185394287
6,0.47185957431793213,0.47185957431793213
7,0.4539480209350586,0.4539480209350586
8,0.43969249725341797,0.43969249725341797
9,0.42760977149009705,0.42760977149009705
10,0.4174357056617737,0.4174357056617737
11,0.4086396098136902,0.4086396098136902
12,0.40086910128593445,0.40086910128593445
